,image,num_nuclei,num_chromosomes,num_ecDNA,context_message
374,1764.tif,1,0,0,"['{""ecDNA_count"":3}', '{\n  ""count"": 0\n}', '{\n""ecDNA"": 0\n}']"
375,1765.tif,1,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
376,1766.tif,1,0,0,"['{\n  ""ecDNA"": 5\n}', '{\n  ""count"": 0\n}', '{\n""ecDNA"": 0\n}']"
377,1768.tif,3,0,0,"['{\n  ""ecDNA_count"": 10\n}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA"": 0\n}']"
378,1769.tif,2,5,2,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 2\n}']"
379,1770.tif,1,51,26,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""count"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
380,1771.tif,2,2,2,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 0}']"
381,1772.tif,2,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
382,1773.tif,1,4,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 1\n}']"
383,1774.tif,0,42,12,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
384,1775.tif,1,0,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA"": 2\n}']"
385,1776.tif,1,0,0,"['{\n  ""ecDNA"": 5\n}', '{\n  ""count"": 0\n}', '{\n""ecDNA_count"": 0\n}']"
386,1779.tif,1,0,0,"['{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
387,1785.tif,0,2,1,"['{""ecDNA_count"":3}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}']"
388,1786.tif,0,4,7,"['{""ecDNA"": 2}', '{\n  ""count"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
389,1789.tif,0,30,8,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
390,1790.tif,2,22,32,"['{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA_count"": 2\n}']"
391,1791.tif,1,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 10\n}', '{""ecDNA"": 1}']"
392,1793.tif,0,15,5,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
393,1794.tif,0,17,5,"['{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
394,1796.tif,1,0,1,"['{""ecDNA"": 3}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
395,1797.tif,1,0,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 1\n}']"
396,18.tif,3,0,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""count"": 1\n}', '{\n  ""ecDNA"": 2\n}']"
397,1809.tif,0,36,18,"['{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA_count"": 2\n}']"
398,1810.tif,0,28,17,"['{\n  ""ecDNA"": 0\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
399,1813.tif,0,16,5,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA_count"": 2\n}']"
400,1814.tif,0,7,14,"['{\n  ""ecDNA_count"": 3\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
401,1822.tif,1,5,7,"['{\n""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA_count"": 3\n}']"
402,1823.tif,1,0,0,"['{""ecDNA_count"": 3}', '{\n  ""ecDNA_count"": 0\n}', '{""ecDNA"": 2}']"
403,1825.tif,1,0,0,"['{""ecDNA"": 2}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
404,1826.tif,0,6,2,"['{\n""ecDNA"": 3\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA_count"": 0\n}']"
405,1827.tif,0,3,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 0\n}']"
406,1829.tif,1,17,3,"['{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
407,1830.tif,0,26,4,"['{\n""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n""ecDNA_count"": 1\n}']"
408,1831.tif,1,0,2,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
409,1833.tif,0,19,2,"['{\n  ""ecDNA"": 0\n}', '{\n  ""count"": 10\n}', '{\n  ""ecDNA_count"": 3\n}']"
410,1834.tif,0,17,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
411,1835.tif,1,0,0,"['{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 3\n}']"
412,1836.tif,2,0,3,"['{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
413,1837.tif,1,1,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA"": 0\n}']"
414,1840.tif,1,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA"": 3\n}']"
415,1841.tif,1,1,0,"['{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 1\n}']"
416,1845.tif,0,10,2,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 1\n}']"
417,1846.tif,0,7,4,"['{""ecDNA"": 2}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 2\n}']"
418,1848.tif,0,1,1,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 1\n}', '{""ecDNA"": 3}']"
419,1849.tif,0,27,11,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA_count"": 0\n}']"
420,185.tif,0,9,26,"['{\n  ""ecDNA_count"": 0\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
421,1850.tif,0,30,9,"['{\n  ""ecDNA"": 0\n}', '{\n  ""count"": 1\n}', '{\n  ""ecDNA_count"": 2\n}']"
422,1853.tif,0,7,5,"['{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
423,1854.tif,0,7,8,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 1\n}']"
424,1858.tif,1,0,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA_count"": 1\n}']"
425,186.tif,0,11,30,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 2\n}', '{""ecDNA_count"": 2}']"
426,1865.tif,0,5,8,"['{""ecDNA"": 3}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
427,1868.tif,0,7,1,"['{""ecDNA"": 3}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
428,1869.tif,0,30,21,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}', '{\n""ecDNA"": 3\n}']"
429,187.tif,1,0,2,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 1\n}', '{\n  ""ecDNA"": 1\n}']"
430,1870.tif,0,14,14,"['{""ecDNA"": 2}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA"": 3\n}']"
431,1872.tif,0,4,1,"['{""ecDNA_count"": 1}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
432,1873.tif,0,14,5,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
433,1874.tif,0,7,5,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""count"": 3\n}', '{\n  ""ecDNA_count"": 0\n}']"
434,1875.tif,1,0,1,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{""ecDNA"": 0}']"
435,1877.tif,1,0,0,"['{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 2}']"
436,1879.tif,1,0,1,"['{\n""ecDNA"": 2\n}', '{\n  ""count"": 0\n}', '{""ecDNA"": 0}']"
437,188.tif,0,18,40,"['{""ecDNA"": 3}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA_count"":2}']"
438,1886.tif,0,3,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 1\n}', '{\n  ""ecDNA"": 0\n}']"
439,1888.tif,1,0,0,"['{""ecDNA_count"": 2}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 1\n}']"
440,1889.tif,0,8,5,"['{\n""ecDNA"": 2\n}', '{\n  ""count"": 0\n}', '{""ecDNA"": 3}']"
441,189.tif,0,25,96,"['{""ecDNA"": 3}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
442,1890.tif,0,30,0,"['{""ecDNA"": 2}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
443,1891.tif,0,6,1,"['{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
444,1893.tif,0,9,2,"['{\n""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 3}']"
445,1894.tif,1,17,1,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA"": 2\n}']"
446,1895.tif,1,1,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 2\n}']"
447,1898.tif,2,0,0,"['{\n  ""ecDNA"": 5\n}', '{\n  ""count"": 1\n}', '{\n  ""ecDNA"": 2\n}']"
448,1899.tif,2,0,0,"['{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 3\n}']"
449,19.tif,5,0,0,"['{\n""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
450,190.tif,0,28,88,"['{\n  ""ecDNA"": 5\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
451,1901.tif,1,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}']"
452,1902.tif,1,0,0,"['{""ecDNA_count"": 2}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
453,1909.tif,0,23,6,"['{""ecDNA_count"":2}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA_count"": 2\n}']"
454,191.tif,1,4,33,"['{""ecDNA_count"":3}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
455,1910.tif,0,20,12,"['{""ecDNA"": 4}', '{\n  ""ecDNA"": 2\n}', '{\n""ecDNA"": 1\n}']"
456,1911.tif,0,0,0,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 0\n}']"
457,1913.tif,0,19,14,"['{\n  ""ecDNA_count"": 0\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
458,1914.tif,0,35,10,"['{\n  ""ecDNA_count"": 1\n}', '{\n  ""count"": 2\n}', '{""ecDNA"": 3}']"
459,1915.tif,1,0,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA_count"": 1\n}']"
460,1919.tif,1,0,0,"['{""ecDNA_count"": 5}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
461,192.tif,0,34,56,"['{""ecDNA_count"": 5}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
462,1922.tif,1,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 10\n}', '{\n  ""ecDNA"": 2\n}']"
463,1923.tif,1,0,0,"['{\n""ecDNA"": 5\n}', '{\n  ""count"": 10\n}', '{\n""ecDNA"": 1\n}']"
464,1927.tif,1,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
465,1929.tif,0,31,5,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 1\n}']"
466,193.tif,0,22,117,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA"": 0\n}']"
467,1930.tif,10,42,5,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 3\n}']"
468,1933.tif,0,10,3,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
469,1934.tif,0,14,1,"['{""ecDNA_count"":2}', '{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
470,194.tif,0,37,103,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 2\n}']"
471,1949.tif,0,11,9,"['{\n""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
472,195.tif,0,40,63,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 3\n}', '{\n  ""ecDNA_count"": 1\n}']"
473,1950.tif,0,28,17,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
474,1951.tif,3,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 3\n}']"
475,1953.tif,0,0,5,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 1\n}']"
476,1954.tif,0,10,7,"['{""ecDNA"": 3}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
477,1955.tif,1,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
478,196.tif,0,11,21,"['{""ecDNA_count"":2}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 10\n}']"
479,1969.tif,0,15,14,"['{""ecDNA"": 0}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 0\n}']"
480,197.tif,0,19,56,"['{\n  ""ecDNA"": 5\n}', '{\n  ""count"": 10\n}', '{\n  ""ecDNA"": 0\n}']"
481,1970.tif,0,14,8,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{""ecDNA"": 3}']"
482,1973.tif,0,20,5,"['{""ecDNA_count"":3}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
483,1974.tif,0,23,10,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 1\n}', '{\n""ecDNA"": 2\n}']"
484,198.tif,0,38,89,"['{""ecDNA_count"":2}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
485,1982.tif,1,0,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
486,1983.tif,2,0,2,"['{\n  ""ecDNA"": 0\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA_count"": 2\n}']"
487,1985.tif,1,0,2,"['{""ecDNA"": 2}', '{\n  ""count"": 3\n}', '{""ecDNA_count"": 2}']"
488,1986.tif,1,0,3,"['{\n  ""ecDNA_count"": 1\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
489,1987.tif,2,0,1,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 0\n}']"
490,1988.tif,1,1,2,"['{""ecDNA"": 2}', '{\n  ""count"": 1\n}', '{\n  ""ecDNA"": 2\n}']"
491,199.tif,0,17,42,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 1\n}']"
492,1990.tif,0,29,14,"['{\n  ""ecDNA_count"": 0\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA_count"": 0\n}']"
493,1991.tif,0,12,4,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 2}']"
494,1992.tif,1,0,2,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA"": 2\n}']"
495,1994.tif,0,12,8,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
496,1995.tif,0,8,3,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA_count"": 10\n}']"
497,2.tif,4,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 1\n}', '{""ecDNA"": 0}']"
498,2006.tif,0,3,2,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
499,2009.tif,0,25,24,"['{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA_count"": 10\n}', '{\n  ""ecDNA"": 2\n}']"
500,201.tif,1,1,1,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 2\n}', '{\n""ecDNA"": 2\n}']"
501,2010.tif,0,34,62,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
502,2013.tif,0,7,8,"['{""ecDNA"": 2}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA_count"": 3\n}']"
503,2014.tif,0,15,25,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
504,202.tif,1,0,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 1\n}']"
505,2021.tif,1,0,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 1\n}']"
506,2022.tif,2,1,6,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA"": 3\n}']"
507,2029.tif,0,5,7,"['{""ecDNA"": 2}', '{\n  ""count"": 2\n}', '{\n""ecDNA"": 2\n}']"
508,203.tif,1,0,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{""ecDNA_count"": 1}']"
509,2030.tif,0,23,18,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
510,2031.tif,1,0,1,"['{""ecDNA"": 3}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
511,2033.tif,0,6,1,"['{""ecDNA_count"": 2}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 1\n}']"
512,2034.tif,0,40,12,"['{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}']"
513,2035.tif,1,1,2,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 1\n}']"
514,2040.tif,1,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 0\n}']"
515,2041.tif,3,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 1\n}']"
516,2042.tif,3,0,0,"['{""ecDNA"": 2}', '{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 1\n}']"
517,2045.tif,1,0,0,"['{""ecDNA"": 2}', '{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA_count"": 2\n}']"
518,2046.tif,2,0,5,"['{""ecDNA_count"": 3}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA_count"": 2\n}']"
519,2047.tif,2,0,0,"['{\n""ecDNA"": 3\n}', '{\n  ""count"": 0\n}', '{\n""ecDNA_count"": 0\n}']"
520,2049.tif,0,16,24,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
521,205.tif,2,4,1,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""count"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
522,2050.tif,0,36,51,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 0\n}', '{""ecDNA"": 2}']"
523,2051.tif,1,3,9,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 2\n}']"
524,2053.tif,0,8,20,"['{""ecDNA"": 2}', '{\n  ""ecDNA_count"": 2\n}', '{\n""ecDNA"": 0\n}']"
525,2054.tif,1,19,55,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
526,2055.tif,1,1,3,"['{\n""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 1\n}', '{\n  ""ecDNA_count"": 2\n}']"
527,206.tif,1,2,14,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
528,2063.tif,1,0,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 2\n}', '{""ecDNA"": 1}']"
529,2065.tif,0,12,5,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}']"
530,2068.tif,0,3,1,"['{""ecDNA"": 2}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 1\n}']"
531,2069.tif,0,44,26,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA_count"": 2\n}']"
532,207.tif,1,1,4,"['{""ecDNA_count"": 2}', '{\n  ""count"": 3\n}', '{\n""ecDNA"": 2\n}']"
533,2070.tif,0,5,1,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
534,2072.tif,0,1,0,"['{\n""ecDNA"": 0\n}', '{\n  ""count"": 3\n}', '{\n  ""ecDNA"": 2\n}']"
535,2073.tif,0,9,5,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}']"
536,208.tif,0,11,25,"['{""ecDNA_count"":2}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 1}']"
537,2089.tif,1,5,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
538,209.tif,0,38,68,"['{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
539,2090.tif,1,1,1,"['{""ecDNA"": 0}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
540,2093.tif,0,20,5,"['{\n  ""ecDNA_count"": 0\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 1\n}']"
541,2094.tif,0,7,5,"['{\n  ""ecDNA_count"": 10\n}', '{\n  ""count"": 1\n}', '{\n  ""ecDNA_count"": 3\n}']"
542,210.tif,0,18,80,"['{\n  ""ecDNA"": 5\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
543,2102.tif,1,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 10\n}']"
544,2103.tif,1,0,0,"['{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
545,2105.tif,1,0,0,"['{""ecDNA_count"":3}', '{\n  ""count"": 0\n}', '{""ecDNA"": 1}']"
546,2106.tif,1,10,12,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 3\n}', '{\n  ""ecDNA"": 2\n}']"
547,2108.tif,1,1,4,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
548,2109.tif,0,49,68,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 1\n}', '{\n  ""ecDNA"": 1\n}']"
549,211.tif,0,11,34,"['{\n  ""ecDNA"": 5\n}', '{\n  ""count"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
550,2110.tif,0,25,32,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 3}']"
551,2112.tif,2,0,3,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
552,2113.tif,0,5,7,"['{""ecDNA_count"": 5}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA_count"": 0\n}']"
553,2114.tif,0,2,4,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 0\n}', '{""ecDNA"": 1}']"
554,2118.tif,1,0,0,"['{""ecDNA"": 3}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 3\n}']"
555,2119.tif,1,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 0\n}', '{""ecDNA"": 2}']"
556,212.tif,0,11,22,"['{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
557,2126.tif,1,0,5,"['{""ecDNA_count"": 2}', '{\n  ""count"": 3\n}', '{\n  ""ecDNA"": 2\n}']"
558,2127.tif,1,0,1,"['{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 3\n}']"
559,2129.tif,0,29,23,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 1\n}', '{\n  ""ecDNA"": 3\n}']"
560,213.tif,0,23,32,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 2\n}']"
561,2130.tif,8,2,14,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
