,image,num_nuclei,num_chromosomes,num_ecDNA,agg_results
591,2190.tif,0,4,10,"['{\n""ecDNA"": 0\n}', '{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
592,2191.tif,0,1,2,"['{\n  ""ecDNA"": 5\n}', '{\n    ""ecDNA"": 5\n}', '{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 2\n}']"
593,2192.tif,0,1,1,"['{\n""ecDNA"": 3\n}', '```json\n{\n  ""ecDNA"": 3\n}\n```', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '```json\n[0]\n```']"
594,2193.tif,0,13,12,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 10\n}', '{""ecDNA"": 0}']"
595,2194.tif,0,5,7,"['{\n    ""ecDNA"": 3\n}', '```json\n{\n  ""ecDNA"": 2\n}\n```', '{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 1\n}', '{\n""ecDNA"": 3\n}']"
596,22.tif,1,0,0,"['```json\n[0]\n```', '{\n""ecDNA"": 3\n}', '{""ecDNA"": 3}', '{\n  ""ecDNA"": 45000\n}', '{\n""ecDNA"": 3\n}']"
597,2208.tif,1,0,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 1\n}', '{\n""ecDNA"": 0\n}', '{""ecDNA"":3}', '{""ecDNA"": 3}']"
598,2209.tif,1,13,4,"['{\n  ""ecDNA"": 3\n}', '{\n    ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
599,2210.tif,0,13,6,"['{\n""ecDNA"": 3\n}', '{\n""ecDNA"": 3\n}', '{""ecDNA"": 0}', '{\n  ""ecDNA"": 5\n}', '{\n""ecDNA"": 5\n}']"
600,2213.tif,0,27,7,"['{\n    ""ecDNA"": 5\n}', '{\n    ""ecDNA"": 1\n}', '{""ecDNA"": 1}', '{\n""ecDNA"": {\n""data"": [\n]\n}\n}', '{\n    ""ecDNA"": 2\n}']"
601,2214.tif,0,28,10,"['{\n  ""ecDNA"": 3\n}', '{""ecDNA"": 3}', '{\n""ecDNA"": 3\n}', '{\n""ecDNA"": 2\n}', '{\n  ""ecDNA"": {\n    ""count"": 2\n  }\n}']"
602,2215.tif,0,3,3,"['{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 4\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
603,2226.tif,1,2,6,"['{\n  ""ecDNA"": 2\n}', '{""ecDNA"": 5}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
604,2229.tif,2,8,1,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": {\n    ""count"": 3\n  }\n}', '{""ecDNA"": 1}', '{\n  ""ecDNA"": 0\n}']"
605,2230.tif,6,10,14,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 3\n}', '{\n    ""ecDNA"": 123\n}', '{\n  ""ecDNA"": 42\n}']"
606,2231.tif,1,0,0,"['{\n  ""ecDNA"": {\n    ""count"": 0\n  }\n}', '{\n  ""ecDNA"": 1\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{""ecDNA"": 0}']"
607,2232.tif,0,0,1,"['{\n  ""ecDNA"": 1\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 4\n}', '{\n    ""ecDNA"": 3\n}', '{""ecDNA"": 1}']"
608,2233.tif,0,9,2,"['{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 5\n}', '{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 2\n}']"
609,2234.tif,0,30,19,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 1\n}', '{\n  ""ecDNA"": 12345\n}', '{\n  ""ecDNA"": 3\n}']"
610,2235.tif,1,16,8,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": {\n    ""count"": 2\n  }\n}', '{\n  ""ecDNA"": {\n    ""count"": 2\n  }\n}', '```json\n{\n  ""ecDNA"": 0\n}\n```']"
611,2236.tif,1,0,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
612,2244.tif,1,0,0,"['{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": {\n    ""count"": 3\n  }\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
613,2245.tif,1,5,1,"['{""ecDNA"": 0}', '{""ecDNA_count"":5}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2054\n}', '{""ecDNA"": 0}']"
614,2246.tif,0,4,0,"['{\n    ""ecDNA"": 42,\n    ""nuclei"": 56,\n    ""chromosomes"": 83\n}', '{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": {\n    ""count"": 0\n  }\n}', '{\n""ecDNA"": 2\n}', '{\n  ""ecDNA"": {\n    ""count"": 2\n  }\n}']"
615,2248.tif,1,0,0,"['{""ecDNA"": 4}', '```json\n[0]\n```', '{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n    ""ecDNA"": 0\n}']"
616,2249.tif,1,39,16,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": {\n    ""count"": 3\n  }\n}', '{\n  ""ecDNA"": 3\n}', '{""ecDNA"": 0}']"
617,225.tif,0,15,25,"['{\n  ""ecDNA"": {\n    ""value"": 3,\n    ""count"": 3\n  }\n}', '{\n  ""ecDNA"": 3\n}', '{""ecDNA"": 4}', '{""ecDNA"": 3}', '{""ecDNA"":1}']"
618,2250.tif,0,28,8,"['{""ecDNA_count"": 2}', '```json\n{\n  ""ecDNA_count"": 3\n}\n```', '{""ecDNA_count"":2}', '{\n""ecDNA"": 0\n}', '{\n""ecDNA"": 3\n}']"
619,2251.tif,0,2,1,"['{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 1000\n}', '{\n  ""ecDNA"": 2\n}', '```json\n[\n  248\n]\n```', '{\n  ""ecDNA"": 3\n}']"
620,2253.tif,0,4,3,"['{\n  ""ecDNA"": 4\n}', '{\n  ""ecDNA"": 0\n}', '{\n    ""ecDNA"": {\n        ""count"": 1\n    }\n}', '{\n    ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
621,2254.tif,0,6,7,"['{\n  ""ecDNA"": 4\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 0\n}', '{\n""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 3\n}']"
622,2259.tif,0,1,0,"['{\n  ""ecDNA"": 3\n}', '{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 0\n}']"
623,226.tif,0,6,29,"['{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 2\n}', '{\n""ecDNA"": 2\n}', '{\n""ecDNA"": 1\n}']"
624,2260.tif,1,0,0,"['{\n  ""ecDNA"": 1234567890\n}', '{\n    ""ecDNA_count"": 1\n}', '```json\n{\n  ""ecDNA"": 3\n}\n```', '{\n  ""ecDNA"": {\n    ""count"": 3\n  }\n}', '{\n  ""ecDNA"": 1\n}']"
625,2261.tif,1,0,0,"['{\n""ecDNA"": 25\n}', '{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n    ""ecDNA"": 5\n}', '{\n""ecDNA"": 50,\n""nuclei"": 1000,\n""chromosomes"": 2000\n}']"
626,2264.tif,1,0,0,"['{""ecDNA"": 1}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '```json\n[3]\n```', '{\n  ""ecDNA"": 0\n}']"
627,2265.tif,1,0,0,"['{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 10\n}', '{\n""ecDNA"": 3\n}']"
628,2269.tif,0,4,1,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 5\n}', '{""ecDNA"": 2}', '{\n  ""ecDNA"": 3\n}']"
629,2270.tif,7,35,7,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 3\n}']"
630,2274.tif,10,26,8,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 4}', '{\n    ""ecDNA"": 3\n}']"
631,228.tif,0,7,7,"['{\n  ""ecDNA"": 3\n}', '{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 50\n}']"
632,2284.tif,1,0,0,"['{""ecDNA"":2}', '{""ecDNA"": 5}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 3,\n""totalObjects"": 4,\n""connectedComponents"": {\n""ecDNA"": ""2""\n}\n}', '{\n  ""ecDNA"": 0\n}']"
633,2285.tif,2,0,0,"['{\n  ""ecDNA"": 3\n}', '```json\n[1]\n```', '{\n""ecDNA"": 0\n}', '{""ecDNA"": 3}', '{\n  ""ecDNA"": 3\n}']"
634,2288.tif,1,8,1,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 1\n}', '```json\n[0]\n```', '{""ecDNA"": 0}', '{\n  ""ecDNA"": 5\n}']"
635,2289.tif,1,22,20,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 5\n}', '{\n    ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}']"
636,229.tif,0,16,38,"['{\n    ""ecDNA"": 4\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '```json\n{\n  ""ecDNA"": 5\n}\n```']"
637,2290.tif,6,33,9,"['{\n    ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}', '{\n""ecDNA"": 10\n}', '{\n""ecDNA"": 3\n}', '{\n    ""ecDNA"": 4,\n    ""nuclei"": 2,\n    ""chromosomes"": 0\n}']"
638,2291.tif,1,0,0,"['{""ecDNA_count"": 0}', '{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 2}', '{\n""ecDNA"": 0\n}']"
639,2292.tif,7,1,20,"['{\n    ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 5\n}', '```json\n[""3""]\n```', '{\n  ""ecDNA"": 0\n}']"
640,2293.tif,0,8,1,"['{\n  ""ecDNA"": 0\n}', '```json\n[{""value"": 4}]\n```', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '```json\n[3]\n```']"
641,2294.tif,0,14,2,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
642,2295.tif,0,1,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{""ecDNA"": 0}', '{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": {\n    ""count"": 1\n  }\n}']"
643,2296.tif,2,0,1,"['{\n  ""ecDNA"": 2\n}', '{\n    ""ecDNA"": 3\n}', '{\n    ""ecDNA"": 0\n}', '```json\n{\n  ""ecDNA"": {\n    ""number"": 3\n  }\n}\n```', '{\n  ""ecDNA"": 3\n}']"
644,2297.tif,1,6,1,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": {\n    ""count"": 3\n  }\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}']"
645,23.tif,1,0,0,"['{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 10\n}', '{\n  ""ecDNA"": 3\n}', '{""ecDNA"": 0}']"
646,230.tif,0,17,30,"['{""ecDNA"": 2}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 3\n}']"
647,2302.tif,1,0,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": {\n    ""count"": 0\n  }\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": {\n    ""count"": 0\n  }\n}']"
648,2303.tif,1,0,0,"['{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}']"
649,2309.tif,0,5,8,"['{""ecDNA"": 3}', '{""ecDNA"": 5}', '{\n  ""ecDNA"": {\n    ""count"": 3\n  }\n}', '{\n  ""ecDNA"": {\n    ""count"": 2\n  }\n}', '{\n  ""ecDNA"": 3\n}']"
650,231.tif,0,4,15,"['{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}', '```json\n{\n  ""ecDNA"": 5\n}\n```', '```json\n[\n  {\n    ""ecDNA"": 20,\n    ""nuclei"": 10,\n    ""chromosomes"": 20\n  }\n]\n```']"
651,2310.tif,0,8,7,"['{""ecDNA"": 0}', '```json\n[\n  {\n    ""ecDNA"": 5094,\n    ""confidence"": 76\n  },\n  {\n    ""ecDNA"": 2511,\n    ""confidence"": 92\n  }\n]\n```', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
652,2313.tif,0,22,33,"['```json\n[3]\n```', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 500000\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 3\n}']"
653,2314.tif,0,25,21,"['{\n  ""ecDNA"": 10\n}', '{\n    ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": {\n    ""count"": 3\n  }\n}', '{""ecDNA"": 3}']"
654,2317.tif,0,4,12,"['{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 1}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n    ""ecDNA"": 2\n}']"
655,2318.tif,0,5,5,"['{""ecDNA"": 2}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 0\n}']"
656,232.tif,0,4,9,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 5\n}', '```json\n{\n  ""ecDNA"": 4\n}\n```', '{""ecDNA"": 3}']"
657,2320.tif,1,0,0,"['{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": {\n    ""count"": 3\n  }\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}']"
658,2321.tif,2,1,0,"['{\n    ""ecDNA"": {\n        ""total"": 0\n    }\n}', '{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 4\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
659,2322.tif,1,3,1,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '```json\n{\n  ""ecDNA"": 3\n}\n```', '{\n  ""ecDNA"": 3\n}']"
660,2323.tif,1,1,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n    ""ecDNA_count"": 5\n}', '{\n  ""ecDNA"": {\n    ""total"": 3,\n    ""connected_components"": [\n      {\n        ""x"": 0,\n        ""y"": 0,\n        ""area"": 200\n      },\n      {\n        ""x"": 0,\n        ""y"": 0,\n        ""area"": 200\n      }\n    ]\n  }\n}', '{\n""ecDNA"": 20\n}']"
661,2324.tif,1,0,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 1\n}', '{""ecDNA"": 5}']"
662,2325.tif,1,0,0,"['{\n    ""ecDNA"": 3\n}', '{\n""ecDNA"": 3\n}', '{""ecDNA"": 2}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
663,2326.tif,1,0,0,"['{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 2\n}']"
664,2328.tif,3,4,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": {\n    ""count"": 0\n  }\n}', '{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}', '{""ecDNA"": 2}']"
665,2329.tif,1,11,0,"['{\n""ecDNA"": 1\n}', '{\n  ""ecDNA"": {\n    ""total"": 3,\n    ""connectedComponents"": [\n      {\n        ""xMin"": 0,\n        ""xMax"": 20,\n        ""yMin"": -15,\n        ""yMax"": 10\n      },\n      {\n        ""xMin"": 30,\n        ""xMax"": 70,\n        ""yMin"": 5,\n        ""yMax"": 15\n      }\n    ]\n  }\n}', '{\n  ""ecDNA"": 10\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
666,233.tif,0,14,30,"['{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 10\n}']"
667,2330.tif,0,19,3,"['{\n    ""ecDNA"": 0\n}', '{""ecDNA"": 3}', '{\n  ""ecDNA"": 3\n}', '{""ecDNA"": 3}', '{""ecDNA"": 0}']"
668,2331.tif,0,6,2,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": {\n    ""count"": 5\n  }\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n    ""ecDNA"": 4\n}']"
669,2332.tif,1,8,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": {\n    ""count"": 2\n  }\n}', '{\n  ""ecDNA"": 3\n}']"
670,2333.tif,1,23,2,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
671,2334.tif,1,0,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 2\n}', '{\n    ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": {\n    ""count"": 5\n  }\n}', '{\n  ""ecDNA_count"": 20\n}']"
672,2335.tif,1,0,0,"['```json\n[1]\n```', '{\n  ""ecDNA"": 3\n}', '{""ecDNA_count"": 3}', '{\n  ""ecDNA"": {\n    ""value"": 3\n  }\n}', '{\n""ecDNA"": 0\n}']"
673,2337.tif,1,2,0,"['{\n  ""ecDNA"": 3\n}', '{""ecDNA"": {""count"": 2}}', '{\n  ""ecDNA"": 3\n}', '{\n    ""ecDNA"": 3\n}', '{""ecDNA_count"": 5}']"
674,2338.tif,1,0,0,"['```json\n{\n  ""ecDNA_count"": 0\n}\n```', '{\n  ""ecDNA"": 3\n}', '{\n    ""ecDNA"": {\n        ""count"": 5\n    }\n}', '{""ecDNA"": 5}', '{\n""ecDNA"": 3\n}']"
675,2339.tif,1,0,0,"['{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 3}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
676,234.tif,0,14,24,"['{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 3\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 0\n}']"
677,2340.tif,5,0,1,"['{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 10\n}', '```json\n{\n  ""ecDNA"": 3\n}\n```']"
678,2341.tif,1,0,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}', '{\n""ecDNA"": 5\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
679,2342.tif,1,0,0,"['{\n    ""ecDNA"": 2\n}', '{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 3}', '{\n""ecDNA"": 3,\n""nuclei"": 5,\n""chromosomes"": 6\n}']"
680,235.tif,0,9,25,"['{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 3\n}', '{\n    ""ecDNA"": 0\n}']"
681,236.tif,2,2,32,"['{\n  ""ecDNA"": 10\n}', '{\n    ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 0}']"
682,237.tif,0,2,17,"['{\n""ecDNA"": 10\n}', '{\n  ""ecDNA_count"": 1\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}', '{\n""ecDNA"": 2\n}']"
683,238.tif,0,4,18,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": {\n    ""count"": 0,\n    ""imagePath"": ""path/to/image.jpg""\n  }\n}', '{\n  ""ecDNA_count"": 2\n}', '{""ecDNA"": 0}']"
684,242.tif,0,6,12,"['{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 3}', '{\n  ""ecDNA"": 3\n}', '{\n    ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
685,243.tif,0,2,5,"['{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 4\n}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 0\n}']"
686,245.tif,28,0,16,"['```json\n[1]\n```', '```json\n{\n  ""ecDNA"": 0\n}\n```', '{\n  ""ecDNA"": {\n    ""count"": 456789\n  }\n}', '```json\n[3]\n```', '{\n  ""ecDNA"": 3\n}']"
687,246.tif,6,4,71,"['```json\n{\n  ""ecDNA"": 0\n}\n```', '{\n    ""ecDNA"": 2\n}', '{\n    ""ecDNA"": 2\n}', '{\n  ""ecDNA"": {\n    ""count"": 0\n  }\n}', '{\n  ""ecDNA"": 0\n}']"
688,247.tif,0,12,64,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 0\n}', '{""ecDNA"": 5}', '{\n  ""ecDNA"": 0\n}']"
689,248.tif,0,24,60,"['{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
690,249.tif,12,6,13,"['{\n    ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '```json\n{\n  ""ecDNA"": 3\n}\n```', '```json\n{\n  ""ecDNA"": 3\n}\n```', '{\n  ""ecDNA"": 5\n}']"
691,250.tif,2,5,65,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": {\n    ""value"": 3,\n    ""count"": 3\n  }\n}', '{\n""ecDNA"": 20\n}', '{\n  ""ecDNA"": 0\n}']"
692,251.tif,0,24,85,"['{\n  ""ecDNA"": 4\n}', '{\n  ""ecDNA"": 25\n}', '{\n    ""ecDNA"": 2,\n    ""nuclei"": 3,\n    ""chromosomes"": 4\n}', '{\n    ""ecDNA"": 0\n}', '{\n""ecDNA"": 3\n}']"
693,252.tif,0,22,120,"['{\n  ""ecDNA"": 10,\n  ""nuclei"": 0,\n  ""chromosomes"": 0\n}', '{\n  ""ecDNA"": 1\n}', '{""ecDNA"": 3}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}']"
694,253.tif,6,22,116,"['{\n  ""ecDNA"": 4\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 1\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": {\n    ""count"": 2\n  }\n}']"
695,254.tif,2,17,154,"['{\n    ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": {\n    ""count"": 3\n  }\n}', '{\n""ecDNA"": 1234\n}', '{\n  ""ecDNA"": 4\n}']"
696,255.tif,0,13,86,"['{\n  ""ecDNA"": 1\n}', '```json\n[4]\n```', '{""ecDNA"": 2}', '{\n  ""ecDNA"": {\n    ""count"": 0\n  }\n}', '{\n  ""ecDNA"": 0\n}']"
697,257.tif,11,6,127,"['{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 1000\n}', '{""ecDNA"": 5}', '{\n  ""ecDNA"": 2\n}']"
698,258.tif,0,1,78,"['{\n  ""ecDNA"": 3\n}', '```json\n[5]\n```', '```json\n[1]\n```', '```json\n{\n  ""ecDNA"": 0\n}\n```', '{\n  ""ecDNA_count"": 5\n}']"
699,259.tif,0,3,24,"['{\n  ""ecDNA_count"": 2\n}', '{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
700,260.tif,0,2,5,"['{""ecDNA"":1}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}']"
701,262.tif,0,2,7,"['{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 5\n}', '```json\n{\n  ""ecDNA"": 1\n}\n```', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 3}']"
702,263.tif,0,13,34,"['{""ecDNA"": ""3""}', '{\n""ecDNA"": 3\n}', '```json\n{\n  ""ecDNA"": 0\n}\n```', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
703,266.tif,0,15,22,"['{\n    ""ecDNA"": 4\n}', '{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{""ecDNA"": 3}']"
704,267.tif,0,35,37,"['{\n  ""ecDNA"": 5\n}', '```json\n[2]\n```', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n    ""ecDNA"": 3\n}']"
